SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
0,1,3,2,4,0,0,0,0,12
5,25,4,3,1,2,0,0,0,12
1,25,3,1,3,2,0,4,9,13
6,3,2,3,1,2,0,0,0,5
1,25,4,2,3,2,0,0,0,2
6,3,3,1,1,2,0,0,0,2
0,7,2,2,1,1,0,0,0,2
2,21,2,1,1,2,0,9,0,12
3,34,3,2,1,2,0,8,2,2
6,3,4,2,2,2,0,4,0,2
6,7,2,2,0,1,0,0,0,2
6,3,3,3,3,0,0,0,0,2
6,18,2,2,1,2,0,10,4,4
2,18,3,2,2,0,0,0,2,2
6,12,0,3,3,1,0,3,0,2
1,3,3,1,2,0,0,4,10,2
0,3,3,1,0,2,0,0,0,2
2,25,2,2,3,2,0,4,0,2
1,33,4,3,4,2,0,0,0,2
4,34,3,1,2,2,0,4,2,13
5,35,4,1,3,2,0,4,9,2
0,25,3,0,0,1,0,4,0,2
1,25,2,2,3,0,0,4,9,13
0,25,1,3,3,1,0,0,4,12
6,18,3,3,2,0,0,4,2,12
2,35,3,2,2,2,0,0,0,2
6,21,2,2,2,0,0,4,0,13
6,35,3,3,2,0,0,0,0,12
6,28,0,2,1,2,0,4,0,2
2,25,3,1,2,2,0,0,0,2
1,25,2,0,2,1,0,10,0,2
4,33,3,1,1,2,0,4,0,2
6,28,3,3,2,2,0,0,2,2
0,21,2,2,2,2,0,0,0,3
6,28,1,1,1,2,0,0,0,12
2,3,4,2,3,0,1,4,1,2
0,12,2,2,4,2,0,1,11,13
2,9,2,2,4,0,1,4,11,12
2,11,2,3,6,0,1,4,5,2
2,14,2,2,6,2,1,10,11,13
2,18,3,1,2,2,0,9,0,13
6,18,1,2,1,2,0,10,0,2
0,34,2,1,3,0,0,4,4,2
4,25,2,1,1,0,0,0,9,13
4,25,2,1,1,0,0,4,0,3
4,28,2,2,3,0,0,0,2,12
4,18,3,2,1,2,0,0,0,2
3,1,3,0,4,2,0,0,4,2
2,3,4,0,0,1,0,2,0,12
2,31,2,1,2,2,0,0,2,3
2,3,3,2,4,0,0,9,11,2
2,34,1,2,1,2,0,4,1,2
0,28,3,1,1,2,0,0,2,13
2,34,3,3,4,0,0,2,13,2
1,21,3,1,1,2,0,4,7,13
4,3,4,3,3,2,1,4,1,2
2,32,1,0,2,2,0,9,4,2
3,22,3,3,0,1,0,0,0,3
4,3,3,2,1,2,0,0,0,2
2,22,1,4,3,2,0,0,2,2
6,28,3,1,2,2,0,0,0,3
2,28,4,0,1,2,0,4,4,2
4,18,2,2,2,2,0,0,0,5
1,12,3,0,2,2,0,4,2,12
4,18,2,3,1,2,0,0,0,2
1,3,4,1,0,1,0,0,0,12
2,7,2,2,2,2,0,0,2,13
4,33,3,3,0,2,0,9,0,13
4,28,2,3,2,2,0,0,0,13
4,13,2,3,1,2,0,0,0,13
2,3,3,1,2,0,0,9,0,12
4,3,3,3,1,2,0,0,2,5
4,18,2,3,1,0,0,5,0,12
2,17,2,2,6,0,1,2,1,6
4,3,2,2,1,2,0,0,0,12
4,18,2,2,1,2,0,8,0,3
4,28,3,3,1,1,0,0,0,13
4,3,2,3,1,0,0,4,0,5
4,28,2,3,3,0,0,0,0,2
4,3,3,3,2,2,0,0,0,13
4,18,3,2,1,0,0,4,0,2
4,3,2,2,1,0,0,8,0,12
1,3,3,2,2,2,0,0,0,2
1,28,4,1,1,1,0,4,0,13
6,9,2,2,5,0,1,10,1,12
2,23,3,3,4,0,0,0,0,13
6,3,4,2,2,2,0,4,0,2
6,33,3,2,2,2,0,4,2,2
6,3,3,2,1,2,0,0,0,12
2,35,3,1,2,0,0,0,4,2
2,25,1,2,1,0,0,2,4,12
1,25,2,0,0,1,0,0,0,2
6,35,3,1,0,2,0,4,0,13
5,32,4,2,2,1,0,0,0,2
2,21,2,1,0,2,0,8,2,7
2,3,4,0,0,2,0,8,0,3
1,3,4,0,0,1,0,8,0,5
2,3,3,1,3,0,0,0,0,13
3,11,3,0,3,1,1,4,1,2
2,28,4,2,0,2,0,10,0,12
3,12,3,2,1,1,0,0,2,2
0,3,3,2,1,2,0,0,0,2
5,25,3,1,1,2,0,0,0,2
2,9,1,2,4,0,1,4,1,13
2,3,4,0,2,2,0,4,1,2
4,3,2,2,1,2,0,4,2,5
1,3,3,1,2,2,0,4,0,12
4,25,2,1,2,2,0,4,0,2
2,3,4,2,1,2,0,0,0,12
2,7,3,1,1,1,0,0,0,3
4,14,2,3,5,0,1,4,11,12
2,34,3,2,3,2,0,4,2,2
2,3,3,1,2,2,0,10,0,12
2,3,3,1,1,2,0,0,0,12
2,3,3,2,2,2,0,0,2,2
6,35,3,1,3,0,0,0,0,2
2,22,3,3,1,0,0,0,0,2
2,16,4,1,3,2,0,0,2,13
2,25,3,1,1,2,0,0,4,2
4,18,3,2,0,1,0,4,2,3
6,28,3,2,1,2,0,9,0,12
6,4,3,3,3,0,0,0,2,13
2,3,4,1,1,2,0,4,0,13
2,13,2,3,0,1,0,8,0,2
4,18,2,3,2,2,0,4,2,12
6,28,2,2,1,2,0,0,0,12
0,3,2,2,2,0,0,0,0,13
5,28,4,1,1,2,0,0,0,2
5,7,3,3,3,2,0,0,0,5
4,3,3,3,2,2,0,0,0,2
4,21,3,0,1,2,0,4,0,12
4,7,3,2,3,2,0,4,9,6
2,3,3,2,3,1,0,9,0,2
3,3,3,1,0,2,0,0,0,3
3,18,3,2,2,2,0,0,0,12
3,13,2,2,2,2,0,2,2,2
6,18,1,4,2,0,0,3,0,12
4,25,3,4,3,0,0,4,7,12
3,1,3,0,0,1,0,4,0,2
6,3,3,1,1,2,0,0,0,2
2,21,3,4,3,2,0,4,11,2
6,9,1,2,4,0,1,11,1,6
4,12,2,3,4,0,0,9,0,12
6,28,3,1,2,1,0,0,0,12
3,30,3,2,4,0,0,4,2,12
4,12,2,0,1,2,0,4,4,13
6,35,2,5,4,0,0,8,4,2
6,18,3,3,2,0,0,0,0,12
6,21,3,2,1,0,0,4,9,12
1,21,4,2,2,2,0,2,0,2
5,35,4,0,0,1,0,4,0,2
1,17,2,2,5,0,1,4,13,2
4,18,2,0,1,1,0,0,4,12
4,9,2,1,3,0,1,10,11,12
6,21,3,2,0,2,0,0,0,2
6,3,4,1,1,2,0,4,4,13
6,3,3,2,1,0,0,4,0,12
4,3,4,2,0,2,0,0,0,2
1,3,3,3,4,0,1,4,7,12
1,3,2,2,3,0,0,0,0,2
0,28,3,0,0,1,0,0,4,2
6,33,4,2,0,1,0,4,0,12
6,21,3,1,0,1,0,0,0,12
3,30,3,1,2,2,0,4,2,2
4,3,3,2,3,2,0,0,0,2
4,3,3,2,2,2,0,4,0,2
1,28,3,2,0,2,0,4,3,2
1,21,4,2,2,0,0,4,2,13
2,25,3,1,1,2,0,7,11,13
2,21,3,2,1,1,0,9,2,2
2,17,1,3,4,0,1,7,11,12
6,18,2,2,2,1,0,4,0,7
6,25,2,1,2,0,0,0,0,2
0,18,2,1,3,2,0,8,0,7
1,18,3,2,3,2,0,0,0,2
4,28,3,2,3,0,0,0,2,13
6,3,3,3,2,1,0,0,0,13
2,32,2,0,0,1,0,0,4,12
6,3,3,2,0,2,0,0,0,5
0,14,2,4,6,0,1,1,1,2
2,24,4,2,3,2,0,10,9,12
1,33,3,2,2,0,0,4,2,12
4,28,3,2,3,2,0,9,0,13
6,3,2,2,3,2,0,0,0,13
4,31,1,1,3,0,0,8,4,6
6,3,3,2,2,0,0,4,0,2
6,3,3,2,0,2,0,0,0,2
6,3,3,2,2,2,0,0,4,2
4,25,2,3,2,0,0,10,0,13
6,21,2,2,1,0,0,0,0,2
6,21,3,2,1,2,0,0,0,2
1,2,3,3,3,2,0,0,4,12
5,33,4,2,2,2,0,2,0,12
4,25,3,1,3,0,0,4,9,13
2,7,2,2,3,2,0,0,2,12
2,21,3,2,3,0,0,9,0,2
2,3,1,1,1,0,0,0,0,2
1,1,2,0,4,0,0,4,0,12
5,21,3,2,1,1,0,8,0,9
3,33,4,2,4,0,0,0,2,12
4,3,2,1,2,2,0,10,0,13
1,28,2,1,3,1,0,3,0,12
6,3,3,2,3,0,0,4,1,2
5,21,4,1,2,2,0,0,2,13
1,33,3,2,2,1,0,0,2,2
2,9,3,4,4,0,1,4,11,12
1,33,3,2,1,0,0,0,0,2
4,3,2,2,1,2,0,8,0,12
2,17,2,2,5,0,1,11,11,13
1,34,2,2,1,2,0,12,4,2
2,16,2,2,0,1,0,11,4,12
2,25,3,1,2,2,0,10,11,2
2,18,2,1,2,2,0,0,2,12
5,28,2,0,1,2,0,10,0,2
2,3,3,1,3,0,0,10,0,3
4,18,3,2,2,0,0,0,0,3
6,28,3,2,1,2,0,0,0,5
6,7,2,4,3,2,0,0,0,13
6,3,3,3,1,1,0,0,0,0
6,3,3,3,2,0,0,4,9,12
6,3,3,3,0,0,0,4,0,12
2,13,2,2,2,0,0,9,0,2
2,3,4,1,0,1,0,8,0,2
0,25,3,0,0,2,0,0,4,5
2,3,3,2,3,2,0,10,2,12
6,31,2,2,2,2,0,4,2,2
2,33,3,1,1,0,0,0,0,2
1,34,2,1,1,2,0,12,9,12
6,28,3,1,1,2,0,10,11,2
2,18,2,2,1,2,0,0,0,0
1,12,2,3,3,2,0,2,4,12
4,3,3,2,1,0,0,4,0,2
2,13,2,3,2,2,0,4,0,12
5,21,3,1,0,2,0,0,2,12
5,35,4,2,2,2,0,4,2,2
5,28,2,1,1,2,0,0,0,13
2,27,3,0,2,2,0,2,13,6
0,28,3,0,1,2,0,0,4,13
6,11,4,4,5,0,1,10,0,12
2,7,4,4,3,0,0,10,0,2
2,5,2,2,2,2,0,0,0,2
2,7,3,1,0,1,0,8,2,12
2,25,3,0,1,2,0,0,0,12
4,7,2,3,4,1,0,4,0,13
6,28,2,1,1,2,0,10,0,2
0,22,3,3,0,1,0,0,2,12
1,3,3,5,1,2,0,10,0,12
1,18,3,1,2,1,0,0,0,12
0,35,3,2,0,2,0,0,0,12
6,3,4,1,0,2,0,4,0,2
0,2,3,2,2,2,0,2,0,12
3,3,4,2,2,0,0,0,0,12
2,21,4,2,1,2,0,10,2,2
6,7,2,2,4,0,0,0,4,13
2,3,3,1,2,2,0,0,0,12
2,13,2,5,3,2,1,4,7,3
0,28,3,2,0,1,0,10,0,12
2,33,3,1,1,1,0,2,2,2
0,28,3,2,0,2,0,10,0,3
2,35,3,2,3,2,0,0,0,2
4,18,3,2,1,2,0,4,2,2
3,21,3,2,2,0,0,10,0,2
6,3,3,1,0,2,0,10,0,2
3,3,4,1,1,2,0,4,0,2
3,3,2,2,2,2,0,0,2,12
1,3,3,1,0,2,0,10,0,2
1,3,1,2,2,0,0,0,2,2
1,3,4,3,2,2,0,4,0,2
2,7,2,2,3,2,0,8,0,12
1,28,3,1,1,2,0,10,0,2
1,28,3,2,1,2,0,0,0,2
2,3,3,2,3,2,0,4,2,2
2,31,2,2,3,2,0,0,2,2
6,35,3,3,2,0,0,0,2,2
2,28,3,2,2,0,0,4,11,2
4,25,2,1,2,2,0,0,0,13
6,12,1,2,2,1,0,4,0,5
6,33,2,1,0,2,0,0,0,2
6,13,2,1,0,1,0,9,0,13
1,18,4,1,2,2,0,4,0,2
2,17,0,2,2,2,1,11,11,7
1,3,3,2,1,1,0,0,2,12
6,28,3,2,1,1,0,0,0,13
4,28,2,4,3,0,0,0,0,11
2,11,3,1,3,2,1,4,7,12
0,33,3,3,0,1,0,0,2,12
2,33,4,2,2,2,0,0,0,2
0,3,3,2,2,2,0,0,0,12
6,3,3,2,2,2,0,0,0,5
1,3,3,1,3,0,0,4,9,2
